; Hulk, Leia Organa
Parent Child; Atreus|Kratos, Atticus Finch|Scout Finch, Atticus Finch|Jem Finch, Barbara Gordon|Jim Gordon, Bowser Jr.|Bowser, Bowser|Bowser Jr., Cassie Lang|Scott Lang, Darth Vader|Luke Skywalker, Darth Vader|Leia Organa, Flayn|Seteth, Han Solo|Kylo Ren, Hank Pym|Hope van Dyne, Hope van Dyne|Hank Pym, Hope van Dyne|Janet van Dyne, Iroh|Zuko, Janet van Dyne|Hope van Dyne, Janet van Dyne|Nadia van Dyne, Jem Finch|Atticus Finch, Jim Gordon|Barbara Gordon, Kratos|Atreus, Kylo Ren|Leia Organa, Kylo Ren|Han Solo, Leia Organa|Darth Vader, Leia Organa|Kylo Ren, Luke Skywalker|Darth Vader, Magneto|Scarlet Witch, Magneto|Quicksilver, Nadia van Dyne|Hank Pym, Nadia van Dyne|Janet van Dyne, Quicksilver|Magneto, Scarlet Witch|Magneto, Scott Lang|Cassie Lang, Scout Finch|Atticus Finch, Seteth|Flayn, Vision|Viv Vision, Viv Vision|Vision, Zuko|Iroh
Patriotism; Captain America, Captain Britain
Peaceful; Iroh
Peasant; Bard the Bowman
Peg-Leg; Captain Ahab
PhD; Allison Blake
Phantom Thieves of Hearts; Ann Takamaki
Photokinesis; Glimmer
Pilot; Carmen Cortez, Chewbacca, Han Solo, Juni Cortez
Pink; Amy Rose
Pixelated; Abigail, Alex
Planeswalker; Araithia Shokta
Platformer; Banjo, Kazooie
Player Character; Byleth, Cal Kestis, Mario, Red (Pokemon), Sonic the Hedgehog
Poetry; Apollo
Pokemon Trainer; Ash Ketchum, Blue, Brock, Red (Pokemon)
Police; Barry Allen, Chun-Li
Police Commissioner; Jim Gordon
Police Officer; Jim Gordon
Polyamory; Ally, Rikk, Rumy
Possessing Possessed; Byleth|Sothis, Sothis|Byleth
Post-Apocalypse; Artyom
Power Armor; Armor
Power-Ups; Luigi, Mario
Powerhouse; America Chavez, Armor, Blue Marvel
Powerless; Asami Sato
Prankster; Beast Boy, Bowser Jr.
Precognitive; Psylocke
Prideful; Chun-Li, Ken
Priestess; Mercedes
Prince; Bowser Jr., Dimitri
Princess; Azula, Glimmer, Leia Organa, Princess Daisy, Princess Peach, Rosalina, Thorn Harvestar
Problem Child; Alex DeLarge
Programmer; Alan Bradley
Prosthetic; Barret Wallace, Captain Ahab, Yang Xiao Long
Prosthetic Limb; Bucky Barnes
Protocol; C3PO
Psychiatrist; John Seward
Psychic; Psylocke
Psychic Powers; Blaze the Cat
Psychopath; Anton Chigurh, Medic
